��"FLO ID",Brand,"Company Name",Category,Status,City,Province,MVP
22003,"Concept Eco Plein Air Le Baluchon Inc.","Concept Eco Plein Air Le Baluchon Inc.",Coffee,"Licensee company",Saint-Paulin,QC,No
03018,"Cordoba Coffee","Cordoba Coffee Ltd",Coffee,"Licensee company",Rexdale,ON,No
26711,"County Roasters Inc","County Roasters Inc",Coffee,"Licensee company",Picton,ON,No
05935,"Coutts & Company Coffeehouse","Coutts &amp; Company Coffeehouse Emporium",Coffee,"Licensee company",Perth,ON,No
02840,"Creemore Coffee Company","Creemore Coffee Company",Coffee,"Licensee company",Creemore,ON,No
05970,"Handmade Organic Delight",Delight,Chocolate,"Licensee company",Toronto,ON,No
33163,"DeLuca Specialty Foods","DeLuca Specialty Foods Cooking School and Restaurant Ltd.",Coffee,"Licensee company",Winnipeg,MB,No
32697,,"Detour Coffee Roasters",Coffee,Trader,Burlington,ON,No
25409,"Diesel House Coffee Roasters","Diesel House Coffee Roasters",Coffee,"Licensee company",Bracebridge,ON,No
19721,"Discovery Organics","Discovery Organics Ltd","Bananas,Produce","Licensee company",Vancouver,BC,Yes
20682,Divine,"Divine Chocolate Limited",Chocolate,"Licensee company",,,No
29878,,"Divine Specialty Teas Company Ltd",Tea,"Licensee company",Surrey,BC,No
20550,"Doi Chaang","Doi Chaang Coffee Company Inc.",Coffee,Trader,Vancouver,BC,No
19749,"Douceur de Géraldine","Douceur de G&eacute;raldine",Cosmetics,"Licensee company",St-Hubert,QC,No
04804,"Earth's General Store","Earth&#8217;s General Store",Coffee,"Licensee company",Edmonton,AB,Yes
32856,En'tyce,En&#8217;tyce,Cosmetics,"Licensee company",Toronto,ON,No
30941,"Endangered Species","Endangered Species Chocolate, LLC.",Chocolate,"Licensee company",,,No
01219,"Equator Coffee Roasters Inc.","Equator Coffee Roasters Inc.",Coffee,"Licensee company",Almonte,ON,No
05157,Équifruit,Equifruit,"Bananas,Produce","Licensee company",Drummondville,QC,Yes
37248,"Espanola Coffee Roasters","Espanola Coffee Roasters",Coffee,"Licensee company",Espanola,ON,No
29255,"New World, Everland","Everland Natural Foods Inc.","Cocoa / Hot Chocolate","Licensee company",Burnaby,BC,No
01413,"Everyday Gourmet Coffee Roasters","Everyday Gourmet Coffee Roasters",Coffee,"Licensee company",Toronto,ON,No
33001,Ziggy's,"Factors Group of Nutritional Companies Inc","Cocoa / Hot Chocolate","Licensee company",Coquitlam,BC,No
26322,"Fair Trade Jewellery Co.","Fair Trade Jewellery Company Ltd.",Gold,"Licensee company",Toronto,ON,No
18958,"Fernwood Coffee Co.","Fernwood Coffee Co.",Coffee,"Licensee company",Victoria,BC,No
20188,"Florists Supply","Florists Supply Ltd",Flowers,"Licensee company",Winnipeg,MB,Yes
26840,"Forbidden Flavours Roastery","Forbidden Flavours Roastery",Coffee,"Licensee company",Brandon,MB,No
28327,"Full Steam Coffee Company","Full Steam Coffee Company",Coffee,"Licensee company",Guysborough,NS,No
03253,Fyffes,"Fyffes North America Inc.(Canada)","Bananas,Produce","Licensee company","Coral Gables",,No
05434,"Galerie au Chocolat, Jelina Chocolatier","Galerie Au Chocolat / Jelina Chocolatier",Chocolate,"Licensee company",Montreal,QC,No
37361,"Garden To Cup Organics","Garden To Cup Organics",Tea,"Licensee company",Richmond,BC,No
40633,"Grauman Packaging","Grauman Packaging",Cotton,"Licensee company",Toronto,ON,No
37007,Barkleys,"Green Chocolate Works Ltd",Chocolate,"Licensee company",Coquitlam,BC,No
24117,"Nuterra Granola","H. &#038; J. BRÜGGEN KG",Cereals,"Licensee company",,,No
35944,hatch,"Hatch Beverage Company",Coffee,"Licensee company",Markham,ON,No
40090,"Hell's Half Acre Coffee","Hell&#8217;s Half Acre Coffee",Coffee,"Licensee company","Fort St. John",BC,No
02232,"Heritage Coffee","Heritage Coffee",Coffee,"Licensee company",London,ON,No
22025,"Highland Farms Inc","Highland Farms Inc",Coffee,"Licensed brand",Mississauga,ON,No
31918,"House of Mandela","House of Mandela",Wine,"Licensee company",,,No
02906,,"International Sugars Inc.",Sugar,Trader,Woodbridge,ON,No
,"Ironwood Coffee","Ironwood Coffee Company",Coffee,"Licensee company","Georgian Bluffs",ON,No
19187,"Mountain Gems","Java Works Coffee Inc",Coffee,"Licensee company",Mississauga,ON,No
01417,"JJ Bean Coffee Roasters","JJ Bean Inc",Coffee,"Licensee company",Vancouver,BC,No
04805,"Jumping Bean Coffee","Jumping Bean Coffee",Coffee,"Licensee company","St John",NL,No
01103,"Just Us!","Just Us! Coffee Roasters Co-op","Cocoa / Hot Chocolate,Coffee,Tea","Licensee company",Wolfville,NS,No
387,Clipper,"Kallo Foods Ltd",Tea,"Licensee company",,,No
18879,"Karité Delapointe","Karit&eacute; Delapointe",Cosmetics,"Licensee company",Bury,QC,Yes
01264,,"Ken Gabbay Coffee LTD.",Coffee,Trader,Montreal,QC,No
01418,,"Kencaf Importing &amp; Distributing Inc.",Coffee,Trader,Markham,ON,No
